ID,Start_time,End_time,PointS_Longitude,PointS_Latitude,PointE_Longitude,PointE_Latitude,NodeS,NodeE
4768,1407627740,1407628487,104.11203,30.653432,104.082306,30.684494,85184,87072
4768,1407632762,1407633767,104.054163,30.671884,104.050961,30.641744,7914,1649
4768,1407646968,1407653644,104.071666,30.654825,104.082256,30.660786,76945,20253
4768,1407660686,1407662257,104.08167,30.657989,104.082272,30.684486,21071,57836
4768,1407665541,1407669998,104.081905,30.686673,104.058909,30.640726,7742,65398
4768,1407676236,1407676831,104.1124,30.655065,104.080267,30.639448,83092,7788
4768,1407680912,1407681510,104.0285,30.627721,104.022267,30.650321,18189,66883
13118,1407649834,1407651072,104.099259,30.661679,104.032541,30.664952,102723,101683
13118,1407659803,1407660157,104.089387,30.675326,104.103194,30.688306,32490,97730
13118,1407665860,1407666260,104.025358,30.664962,104.049029,30.667108,14716,30686
13118,1407675809,1407676395,104.072898,30.697063,104.046901,30.679791,80763,52967
4506,1407639646,1407639810,104.042094,30.624804,104.048777,30.635602,63633,2793
4506,1407664344,1407679897,104.053948,30.679099,104.06411,30.642188,55802,67538
4549,1407665801,1407666190,104.089412,30.650137,104.084827,30.640659,10161,98379
6415,1407657341,1407657724,104.019805,30.677252,104.027635,30.668109,80774,14764
6415,1407672848,1407675897,104.059611,30.627294,104.043671,30.633682,21073,17722
12813,1407631465,1407631988,104.0997,30.641173,104.06475,30.636127,7629,84856
12813,1407655828,1407656819,104.093629,30.626975,104.070647,30.657474,73440,33378
12813,1407658291,1407658319,104.032566,30.631382,104.033365,30.63275,71001,71002
12813,1407663610,1407664142,104.044471,30.664582,104.047156,30.646931,45160,51926
12813,1407670845,1407672214,104.027081,30.643787,104.076277,30.654419,51960,1754
12813,1407676972,1407677823,104.040588,30.686601,104.052104,30.635751,53245,15638
12813,1407683322,1407683715,104.070679,30.695731,104.087637,30.68526,7638,7767
2831,1407623771,1407624901,104.063734,30.643104,104.0706,30.697318,64677,7639
2831,1407659408,1407660019,104.048017,30.643898,104.072013,30.646979,6279,66672
2831,1407674716,1407676030,104.072258,30.62753,104.079589,30.683239,38980,7743
7553,1407630388,1407630881,104.041616,30.624095,104.039591,30.644457,9077,7821
7553,1407634445,1407635788,104.037232,30.661929,104.094724,30.694443,13210,7640
7553,1407640256,1407640774,104.07341,30.63983,104.055779,30.62947,26713,4887
7553,1407657197,1407658952,104.073819,30.627604,104.071162,30.697256,38980,80763
7553,1407662633,1407663369,104.064617,30.622371,104.085463,30.649475,67257,1776
7553,1407666333,1407671800,104.095243,30.626903,104.095758,30.622732,9138,73195
7553,1407677381,1407677714,104.020972,30.646343,104.024514,30.650124,94298,22826
4421,1407642285,1407642720,104.074349,30.625443,104.088763,30.650297,23515,10161
4421,1407644515,1407644924,104.084823,30.640545,104.103793,30.641267,98379,101689
4421,1407649377,1407649757,104.085763,30.650031,104.083826,30.663115,1776,10159
4421,1407654029,1407654795,104.057404,30.678981,104.056466,30.647699,52761,2775
3937,1407645229,1407657999,104.02227,30.645246,104.025501,30.674341,81474,14699
3937,1407664897,1407665858,104.078857,30.662351,104.055666,30.628181,10143,4887
3937,1407668294,1407669525,104.072415,30.673342,104.016923,30.664844,55815,74735
2178,1407634646,1407635450,104.064833,30.622854,104.046819,30.646876,58801,75959
2178,1407650995,1407658858,104.0748,30.645958,104.0906,30.643019,94443,91768
2178,1407666833,1407667177,104.093119,30.651546,104.075947,30.660616,6606,42159
2178,1407670799,1407673876,104.103993,30.641141,104.080313,30.648817,101689,10224
2178,1407684063,1407684823,104.061768,30.674047,104.089729,30.687138,17109,38131
5035,1407641240,1407642854,104.095723,30.626827,104.050689,30.677267,64717,47332
5035,1407647221,1407648145,104.07594,30.654772,104.018744,30.681517,1754,14588
5035,1407657800,1407658297,104.090596,30.68032,104.078467,30.681785,38086,7744
5035,1407667600,1407667964,104.038681,30.668521,104.055075,30.675146,29016,52648
5035,1407676537,1407677044,104.052215,30.627569,104.025662,30.636328,54470,7834
5035,1407680732,1407681504,104.096784,30.636401,104.069067,30.626345,62059,20959
7512,1407642455,1407652576,104.04169,30.696282,104.081031,30.684638,13763,7744
7512,1407661130,1407661276,104.085145,30.684663,104.08515,30.684649,7765,7765
7512,1407665646,1407666605,104.108167,30.657314,104.109025,30.670211,52580,23623
7512,1407678843,1407679363,104.053755,30.678822,104.031262,30.677929,52761,6067
12885,1407626469,1407627811,104.11048,30.693288,104.066118,30.675945,20133,52843
12885,1407679643,1407681327,104.096292,30.689872,104.09503,30.668463,7662,32841
9294,1407629747,1407632287,104.020899,30.693767,104.060692,30.672553,5811,9559
9294,1407641564,1407644369,104.026442,30.641632,104.085543,30.692112,74792,7734
9294,1407662329,1407663360,104.072483,30.662081,104.045949,30.646798,63231,51926
4927,1407626408,1407626716,104.018979,30.665564,104.038039,30.666062,38313,53868
4927,1407639579,1407639733,104.059086,30.683916,104.057743,30.674683,56884,52085
4927,1407672981,1407673516,104.077394,30.667228,104.098888,30.670923,55274,47172
7705,1407630271,1407630793,104.074564,30.687096,104.058783,30.673528,29343,22734
7705,1407663342,1407663735,104.112541,30.653428,104.104935,30.672631,85181,9293
12881,1407625166,1407625883,104.099401,30.640936,104.038387,30.665901,7629,5997
11099,1407633628,1407636336,104.112275,30.655642,104.051176,30.697235,86010,16662
2406,1407656479,1407657761,104.111567,30.644103,104.051197,30.667932,5956,7906
2406,1407667221,1407668378,104.079917,30.639159,104.047197,30.646544,7788,51927
13551,1407637412,1407637847,104.018368,30.659575,104.022485,30.678548,104385,10235
2862,1407642295,1407646511,104.084496,30.654779,104.049831,30.686608,5996,42186
2862,1407658127,1407659276,104.054555,30.675488,104.10011,30.623415,101202,64621
2862,1407663015,1407664119,104.036983,30.638251,104.036017,30.687237,4874,14465
2862,1407673688,1407674326,104.092231,30.679221,104.073517,30.639404,41510,26714
2862,1407681958,1407682900,104.082672,30.657372,104.031447,30.682397,21071,6070
12911,1407648532,1407648832,104.071022,30.655278,104.064802,30.658812,76945,36534
12911,1407650555,1407651287,104.057932,30.676325,104.080388,30.689368,41976,7761
12911,1407653959,1407654414,104.063694,30.644216,104.05551,30.64578,68351,2801
12911,1407660106,1407660574,104.084149,30.651097,104.072209,30.646879,10162,66672
12911,1407663408,1407663824,104.08025,30.677013,104.074006,30.652686,38068,76939
3919,1407622399,1407622938,104.077842,30.680606,104.070407,30.697637,38069,77125
4929,1407626535,1407636213,104.11248,30.653307,104.021724,30.694253,85181,64614
