ID,Start_time,End_time,PointS_Longitude,PointS_Latitude,PointE_Longitude,PointE_Latitude,NodeS,NodeE
4768,1407020491,1407020982,104.106222,30.65969,104.096488,30.68178,52579,78075
4768,1407034917,1407035451,104.082442,30.684046,104.100842,30.671369,87072,47172
4768,1407038954,1407039951,104.06645,30.676204,104.082509,30.648856,52843,64700
4768,1407048128,1407049300,104.081109,30.642113,104.071885,30.646992,76994,66672
4768,1407053589,1407053922,104.056078,30.676294,104.054285,30.665132,52647,53228
4768,1407064099,1407065226,104.043702,30.646351,104.077514,30.661756,51932,10142
13118,1407017525,1407017929,104.038728,30.688775,104.070398,30.696734,6075,84351
13118,1407034407,1407034852,104.036171,30.687295,104.058699,30.673527,14465,22734
13118,1407042143,1407043065,104.063613,30.67327,104.038657,30.652676,45539,13247
13118,1407049443,1407049856,104.056272,30.647916,104.067725,30.65105,22564,76978
13118,1407055322,1407055910,104.055362,30.631924,104.066717,30.657431,40574,63584
13118,1407059713,1407060527,104.060828,30.672374,104.022531,30.688951,17109,14145
13118,1407070649,1407071368,104.042508,30.635499,104.026332,30.665137,37418,14716
13118,1407073753,1407073773,104.0758,30.673994,104.07491,30.67436,12394,12392
13118,1407078212,1407078891,104.058542,30.684768,104.108737,30.66999,12738,51650
2824,1407022759,1407030810,104.018282,30.650345,104.03844,30.6658,4295,63946
7363,1407022476,1407023179,104.0319,30.670501,104.063789,30.633696,42289,84390
7363,1407062835,1407063645,104.017701,30.642978,104.057608,30.627356,65504,4886
7363,1407073981,1407074702,104.024681,30.69074,104.076354,30.675222,14385,26627
4506,1407056010,1407056260,104.041533,30.645484,104.031798,30.640165,40552,7827
4506,1407060000,1407060323,104.034979,30.64982,104.031185,30.643973,42239,22830
6415,1407043320,1407049364,104.055767,30.69737,104.026039,30.636346,16661,4031
6415,1407051545,1407052405,104.076691,30.656127,104.105528,30.668056,33375,6836
6415,1407056415,1407056818,104.020318,30.672791,104.025734,30.686223,50261,6554
6415,1407061425,1407067352,104.041034,30.639745,104.053626,30.668739,7875,7908
6415,1407079290,1407079478,104.085669,30.642107,104.076495,30.647927,71731,4356
12813,1407017506,1407018407,104.106347,30.686576,104.033333,30.680951,20140,1686
12813,1407025177,1407027570,104.05612,30.636103,104.038646,30.635938,15635,4867
12813,1407035582,1407036417,104.071762,30.646932,104.087996,30.659756,66672,10160
12813,1407046251,1407049835,104.025221,30.677732,104.097677,30.661051,10375,102725
12813,1407057632,1407058430,104.028785,30.635034,104.0381,30.648826,42887,22821
12813,1407071996,1407072439,104.100115,30.633613,104.092121,30.653169,23603,7562
12813,1407075241,1407075684,104.027457,30.637085,104.043226,30.636665,4033,4877
2831,1407016800,1407017685,104.037717,30.643906,104.026306,30.643158,7822,51960
2831,1407029316,1407029953,104.059757,30.645726,104.032812,30.646868,52560,48933
2831,1407045421,1407045784,104.089026,30.645194,104.076593,30.656051,10115,73632
2831,1407053856,1407059547,104.027762,30.639457,104.079498,30.646279,52645,4201
2831,1407061879,1407062185,104.072828,30.658116,104.069777,30.656423,33379,1759
2902,1407033689,1407034160,104.044218,30.69634,104.050967,30.687296,15975,42302
2902,1407036898,1407037851,104.097905,30.68595,104.033069,30.688471,17830,14408
2902,1407043080,1407043827,104.067732,30.697138,104.040889,30.688844,80763,61096
2902,1407048424,1407048705,104.066943,30.669487,104.075359,30.676772,51832,72294
7553,1407033417,1407034803,104.054689,30.694183,104.088012,30.643483,43969,10122
7553,1407038727,1407039191,104.053952,30.66531,104.05321,30.676206,53227,52576
7553,1407046024,1407046166,104.022851,30.664933,104.024031,30.661992,14714,75965
7553,1407049314,1407050376,104.074417,30.624054,104.051065,30.654102,23514,88
7553,1407054364,1407054883,104.079119,30.628947,104.098564,30.639412,87461,62059
7553,1407063630,1407064056,104.01896,30.670982,104.047684,30.664273,80731,44363
7553,1407070995,1407071360,104.053973,30.66533,104.074618,30.6609,53226,33380
4421,1407034768,1407035114,104.083281,30.652754,104.090486,30.658657,44227,26300
4421,1407074002,1407075941,104.092052,30.663271,104.038964,30.639524,32831,4873
3937,1407033107,1407034114,104.043916,30.685504,104.072896,30.697236,52832,80763
3937,1407040995,1407041438,104.052582,30.680773,104.080721,30.676696,56888,38068
3937,1407045436,1407045975,104.097302,30.685259,104.074164,30.661218,18869,63239
3937,1407054546,1407055387,104.067049,30.651619,104.050012,30.696845,76904,80740
2178,1407033036,1407036246,104.021883,30.644915,104.080445,30.668228,81470,52811
2178,1407037826,1407038966,104.053807,30.665859,104.107531,30.631417,7903,62055
2178,1407057762,1407057941,104.040708,30.639125,104.036169,30.642716,7875,4873
2178,1407070468,1407070954,104.024108,30.624759,104.050213,30.624306,65423,52998
2178,1407079998,1407080492,104.064735,30.623092,104.054572,30.657954,58802,7806
5035,1407026963,1407027290,104.054709,30.691875,104.061478,30.67237,6574,41975
7512,1407068888,1407069529,104.103875,30.664242,104.104397,30.692081,52614,13221
7512,1407075945,1407077072,104.075007,30.660893,104.029843,30.671577,33380,1572
12885,1407022224,1407022444,104.046365,30.655899,104.052433,30.651118,13173,7789
12885,1407033257,1407038746,104.064619,30.622605,104.073418,30.656162,68498,33375
12885,1407044280,1407044763,104.023758,30.646698,104.021288,30.672588,44769,50151
12885,1407070550,1407071390,104.071284,30.684628,104.027302,30.685179,29334,14143
12564,1407020787,1407021666,104.073534,30.696877,104.072094,30.647681,80743,10168
