DriverID,Start_time,NodeS
0, 2014/08/10 07:42:13,85181
1, 2014/08/10 06:00:35,10235
2, 2014/08/10 06:10:51,247
3, 2014/08/10 07:54:11,81615
4, 2014/08/10 06:19:49,13761
5, 2014/08/10 06:00:06,62117
6, 2014/08/10 11:00:16,13516
7, 2014/08/10 18:06:03,23514
8, 2014/08/10 06:00:03,7569
9, 2014/08/10 06:00:00,64609
10, 2014/08/10 06:00:00,42887
12, 2014/08/10 08:26:18,9077
13, 2014/08/10 06:00:03,43790
14, 2014/08/10 11:44:35,23514
16, 2014/08/10 09:37:16,89457
17, 2014/08/10 06:00:06,56885
18, 2014/08/10 10:37:16,8088
19, 2014/08/10 06:17:38,71118
20, 2014/08/10 06:00:09,38044
21, 2014/08/10 10:56:49,8099
22, 2014/08/10 06:57:43,85181
23, 2014/08/10 06:00:07,89923
24, 2014/08/10 08:18:44,98529
25, 2014/08/10 06:00:09,52742
26, 2014/08/10 08:36:15,4110
27, 2014/08/10 09:15:27,14147
28, 2014/08/10 08:49:11,2948
29, 2014/08/10 06:00:01,20695
30, 2014/08/10 08:35:15,42961
31, 2014/08/10 06:00:03,7744
32, 2014/08/10 07:22:05,85180
33, 2014/08/10 06:00:02,80779
34, 2014/08/10 09:41:39,10471
35, 2014/08/10 11:05:08,114
36, 2014/08/10 13:12:42,9077
37, 2014/08/10 06:00:09,49389
38, 2014/08/10 10:07:34,12212
39, 2014/08/10 09:54:01,12209
40, 2014/08/10 06:00:00,43701
41, 2014/08/10 06:00:00,43198
42, 2014/08/10 06:54:47,52784
43, 2014/08/10 06:00:00,1681
44, 2014/08/10 06:00:04,76904
45, 2014/08/10 06:03:10,14711
47, 2014/08/10 07:34:38,9077
48, 2014/08/10 07:39:53,58919
49, 2014/08/10 07:24:40,29028
50, 2014/08/10 10:20:51,81615
51, 2014/08/10 06:00:07,1634
52, 2014/08/10 06:00:09,101197
53, 2014/08/10 07:53:53,81589
54, 2014/08/10 06:00:01,6544
55, 2014/08/10 07:30:47,20133
56, 2014/08/10 07:31:39,38431
57, 2014/08/10 06:00:04,50792
58, 2014/08/10 18:09:14,65504
59, 2014/08/10 06:00:07,13736
60, 2014/08/10 07:15:56,81615
61, 2014/08/10 06:00:09,53214
62, 2014/08/10 06:00:05,62167
63, 2014/08/10 06:05:56,14711
64, 2014/08/10 10:29:48,41490
65, 2014/08/10 11:06:29,65504
66, 2014/08/10 06:00:00,12394
67, 2014/08/10 08:45:32,81615
68, 2014/08/10 06:00:08,7827
69, 2014/08/10 13:36:57,23514
70, 2014/08/10 09:01:25,71118
71, 2014/08/10 07:26:54,71127
72, 2014/08/10 06:05:53,42020
73, 2014/08/10 06:00:05,54469
74, 2014/08/10 06:00:07,96290
75, 2014/08/10 06:00:06,14357
76, 2014/08/10 09:20:57,9077
77, 2014/08/10 08:07:38,74735
78, 2014/08/10 06:29:49,14147
79, 2014/08/10 06:00:01,63240
80, 2014/08/10 06:00:05,86011
81, 2014/08/10 06:00:03,5980
82, 2014/08/10 06:09:51,13346
83, 2014/08/10 07:59:09,52784
84, 2014/08/10 08:32:12,23514
85, 2014/08/10 07:11:19,43976
86, 2014/08/10 06:00:00,10158
87, 2014/08/10 06:00:03,14019
88, 2014/08/10 06:02:32,55178
89, 2014/08/10 06:00:09,38127
90, 2014/08/10 06:00:01,9093
91, 2014/08/10 09:00:18,85181
92, 2014/08/10 06:00:02,7558
93, 2014/08/10 06:00:04,53245
94, 2014/08/10 06:00:00,7227
95, 2014/08/10 06:00:07,62115
96, 2014/08/10 06:00:09,84350
97, 2014/08/10 08:59:50,38431
98, 2014/08/10 06:52:15,84894
99, 2014/08/10 13:55:37,6006
100, 2014/08/10 07:22:03,74743
101, 2014/08/10 06:00:08,59894
102, 2014/08/10 06:00:01,33761
103, 2014/08/10 06:00:08,53873
104, 2014/08/10 06:00:05,10466
105, 2014/08/10 06:00:09,7558
106, 2014/08/10 12:58:02,4110
107, 2014/08/10 06:40:14,67288
108, 2014/08/10 06:00:08,87665
109, 2014/08/10 08:23:02,52784
110, 2014/08/10 07:33:01,28900
111, 2014/08/10 07:04:22,65504
112, 2014/08/10 10:16:56,98529
113, 2014/08/10 06:00:00,41978
114, 2014/08/10 11:33:47,4110
115, 2014/08/10 06:45:11,9077
116, 2014/08/10 12:43:52,67257
117, 2014/08/10 06:00:06,67091
118, 2014/08/10 08:08:48,67257
119, 2014/08/10 06:00:06,87664
120, 2014/08/10 08:38:15,52618
121, 2014/08/10 06:03:46,84894
122, 2014/08/10 06:00:03,94442
123, 2014/08/10 09:45:10,16662
124, 2014/08/10 06:00:03,62510
125, 2014/08/10 06:00:05,59885
126, 2014/08/10 06:00:00,13382
127, 2014/08/10 06:00:09,14695
128, 2014/08/10 07:06:19,13762
129, 2014/08/10 09:15:06,83948
130, 2014/08/10 07:18:16,16662
131, 2014/08/10 06:00:00,10374
132, 2014/08/10 07:03:11,42962
133, 2014/08/10 09:04:05,14364
134, 2014/08/10 06:00:13,66922
135, 2014/08/10 08:43:58,14588
136, 2014/08/10 06:00:00,13220
137, 2014/08/10 08:14:41,52784
138, 2014/08/10 08:39:28,14145
139, 2014/08/10 06:00:04,101591
140, 2014/08/10 06:00:01,55819
141, 2014/08/10 08:42:28,72681
142, 2014/08/10 08:30:24,14458
143, 2014/08/10 06:42:25,9113
144, 2014/08/10 09:54:23,247
145, 2014/08/10 06:00:05,10236
146, 2014/08/10 08:28:39,67258
147, 2014/08/10 06:00:08,9093
148, 2014/08/10 08:18:28,13346
149, 2014/08/10 08:38:39,14752
150, 2014/08/10 13:21:57,14145
151, 2014/08/10 06:00:08,67091
152, 2014/08/10 07:05:41,52784
153, 2014/08/10 06:00:00,4877
154, 2014/08/10 06:00:07,52912
156, 2014/08/10 06:00:03,5985
157, 2014/08/10 06:00:02,4882
158, 2014/08/10 07:15:49,191
159, 2014/08/10 08:04:43,98529
160, 2014/08/10 06:00:04,112
161, 2014/08/10 06:05:09,66671
163, 2014/08/10 06:00:07,61089
164, 2014/08/10 08:30:37,14364
165, 2014/08/10 06:00:05,52580
166, 2014/08/10 06:00:07,51899
167, 2014/08/10 09:00:55,14588
168, 2014/08/10 06:00:01,6548
169, 2014/08/10 06:00:01,67251
170, 2014/08/10 12:17:20,8099
171, 2014/08/10 09:05:10,33087
172, 2014/08/10 06:00:08,20695
173, 2014/08/10 06:11:32,52784
174, 2014/08/10 06:00:07,17722
175, 2014/08/10 09:48:03,67785
176, 2014/08/10 06:00:06,7560
177, 2014/08/10 12:14:15,71118
178, 2014/08/10 08:19:11,81615
179, 2014/08/10 06:00:02,52580
180, 2014/08/10 06:00:03,43969
181, 2014/08/10 06:00:08,13105
182, 2014/08/10 06:00:01,39173
183, 2014/08/10 07:20:29,83090
