DriverID,Start_time,NodeS
0, 2014/08/09 06:43:49,52579
1, 2014/08/09 06:23:00,70916
2, 2014/08/09 06:00:01,7843
3, 2014/08/09 08:46:38,9117
4, 2014/08/09 06:40:40,42254
5, 2014/08/09 06:00:04,62117
6, 2014/08/09 09:23:40,4110
7, 2014/08/09 11:16:37,23710
8, 2014/08/09 06:00:00,10148
9, 2014/08/09 06:00:01,53037
10, 2014/08/09 06:00:01,71955
12, 2014/08/09 09:41:56,9077
13, 2014/08/09 06:00:03,43790
14, 2014/08/09 10:41:32,29028
16, 2014/08/09 06:00:06,54561
17, 2014/08/09 06:00:02,9094
18, 2014/08/09 08:24:10,12211
19, 2014/08/09 06:00:00,43976
20, 2014/08/09 06:00:01,13431
21, 2014/08/09 10:19:31,42961
22, 2014/08/09 06:12:19,67254
23, 2014/08/09 06:00:02,89923
24, 2014/08/09 08:19:58,52784
25, 2014/08/09 09:23:14,81615
26, 2014/08/09 09:43:27,14147
27, 2014/08/09 13:06:18,71118
28, 2014/08/09 08:09:46,52784
29, 2014/08/09 06:00:09,20695
30, 2014/08/09 07:04:37,4295
31, 2014/08/09 07:14:22,12209
32, 2014/08/09 08:05:09,30757
33, 2014/08/09 07:55:55,9077
34, 2014/08/09 07:05:49,10471
35, 2014/08/09 06:00:06,13230
36, 2014/08/09 13:11:20,42961
37, 2014/08/09 08:38:57,52784
38, 2014/08/09 07:51:41,98529
39, 2014/08/09 08:33:40,12210
40, 2014/08/09 06:00:00,13199
41, 2014/08/09 06:36:39,3947
42, 2014/08/09 07:10:33,52784
43, 2014/08/09 06:00:01,1681
44, 2014/08/09 06:24:49,10471
45, 2014/08/09 08:03:21,14711
47, 2014/08/09 06:00:04,21074
48, 2014/08/09 06:57:13,71968
49, 2014/08/09 10:30:27,71933
50, 2014/08/09 09:19:03,9117
51, 2014/08/09 08:43:07,21758
52, 2014/08/09 06:00:05,101197
53, 2014/08/09 07:41:48,81615
54, 2014/08/09 06:00:09,6544
55, 2014/08/09 06:29:07,20133
56, 2014/08/09 07:58:15,13516
57, 2014/08/09 06:00:06,64622
58, 2014/08/09 07:56:39,74735
59, 2014/08/09 06:00:03,14699
60, 2014/08/09 07:32:07,9117
61, 2014/08/09 06:00:06,43969
62, 2014/08/09 06:00:04,10169
63, 2014/08/09 06:00:03,89695
64, 2014/08/09 07:01:22,13346
65, 2014/08/09 07:29:56,65504
66, 2014/08/09 06:00:00,67163
67, 2014/08/09 06:37:39,52784
68, 2014/08/09 06:00:01,7827
69, 2014/08/09 09:15:31,191
70, 2014/08/09 06:00:05,13279
71, 2014/08/09 08:26:52,98529
72, 2014/08/09 08:11:49,3945
73, 2014/08/09 06:00:05,13720
74, 2014/08/09 06:00:02,96291
75, 2014/08/09 07:59:40,6252
76, 2014/08/09 09:30:01,11723
77, 2014/08/09 06:00:07,7993
78, 2014/08/09 06:00:08,7561
79, 2014/08/09 06:54:35,81615
80, 2014/08/09 06:02:07,55177
81, 2014/08/09 06:06:24,43960
82, 2014/08/09 06:00:02,87817
83, 2014/08/09 07:19:12,12209
84, 2014/08/09 08:23:41,54465
85, 2014/08/09 07:47:47,38311
86, 2014/08/09 06:00:03,1056
87, 2014/08/09 06:00:03,10235
88, 2014/08/09 06:00:08,55178
89, 2014/08/09 06:15:26,55177
90, 2014/08/09 06:00:08,10127
91, 2014/08/09 07:55:06,81471
92, 2014/08/09 08:13:46,84894
93, 2014/08/09 06:00:05,53245
94, 2014/08/09 06:46:01,74735
95, 2014/08/09 06:00:05,1752
96, 2014/08/09 06:00:56,14147
97, 2014/08/09 06:11:30,38431
98, 2014/08/09 06:00:09,57832
99, 2014/08/09 06:00:02,43205
100, 2014/08/09 06:14:53,42961
101, 2014/08/09 06:00:05,59894
102, 2014/08/09 06:00:03,80739
103, 2014/08/09 06:07:01,23710
104, 2014/08/09 06:00:04,10466
105, 2014/08/09 06:50:08,14147
106, 2014/08/09 09:01:25,4957
107, 2014/08/09 06:09:37,4957
