id,lat,lon
49,30.6971113,104.0789935
50,30.6972218,104.0789994
83,30.6516916,104.0530604
84,30.6522571,104.0527579
85,30.6529355,104.0523395
86,30.6534432,104.0518835
87,30.6537939,104.0515188
88,30.6539785,104.0512398
89,30.6540919,104.0509498
90,30.6541677,104.050698
91,30.6542138,104.0502259
92,30.6541815,104.0498772
93,30.6540523,104.0495661
94,30.6539093,104.0491369
95,30.6536831,104.0484825
96,30.6534616,104.0475866
97,30.6534016,104.0470073
98,30.6533924,104.0464226
99,30.6533878,104.0453604
100,30.6534132,104.0451861
101,30.6534755,104.0449795
102,30.6536439,104.0446738
103,30.6537731,104.0444994
104,30.6539208,104.0443814
105,30.6540574,104.0442923
106,30.6541163,104.0442485
107,30.6935985,104.1040766
108,30.6934535,104.1042993
109,30.6927844,104.1056723
110,30.6926965,104.1058387
111,30.6925804,104.1060586
112,30.6911781,104.1078181
113,30.6910605,104.1080237
114,30.6889265,104.111324
115,30.6887422,104.1116109
132,30.6449174,104.1079486
133,30.6448898,104.1077989
134,30.6448965,104.1076622
135,30.6449196,104.1075385
136,30.6449736,104.1074292
137,30.6450461,104.1073485
138,30.6451186,104.1073019
139,30.6452188,104.107284
140,30.6452944,104.1072894
141,30.6453906,104.1072952
142,30.6455599,104.1079664
143,30.6454563,104.1080705
144,30.6453468,104.1081279
145,30.6452636,104.1081422
146,30.6451602,104.1081297
147,30.6450631,104.1080759
148,30.6449921,104.1080096
163,30.625722,104.0576997
164,30.6253342,104.0578177
165,30.6250573,104.0581718
166,30.6250578,104.0599734
167,30.6251827,104.0640151
168,30.6251745,104.0642359
169,30.6251749,104.0645641
181,30.6958366,104.083648
182,30.6957521,104.083879
183,30.6955532,104.0843135
184,30.6945443,104.0863771
185,30.6943355,104.0868633
191,30.6220921,104.054917
192,30.6224035,104.0549231
193,30.622436,104.0549237
194,30.6225203,104.0549318
215,30.6455812,104.1072999
216,30.6453922,104.1072005
217,30.6451434,104.1070365
226,30.644176,104.1108717
227,30.6436787,104.1118896
232,30.640689,104.1043602
233,30.6408318,104.1044706
234,30.6415947,104.1049011
235,30.6421598,104.1053339
236,30.6424229,104.1055087
237,30.6427175,104.1056818
238,30.6457887,104.1075099
239,30.646161,104.1077405
240,30.6466569,104.1080476
241,30.6441285,104.1108283
242,30.6439063,104.1112637
247,30.6435517,104.1123386
248,30.6442372,104.1109067
249,30.6462712,104.1084821
250,30.6464747,104.1083518
251,30.6466509,104.1083274
252,30.6468964,104.1083338
253,30.6470442,104.1083946
254,30.6478663,104.1088802
255,30.6482326,104.1090314
256,30.6446882,104.1066981
257,30.6438441,104.1062056
258,30.6427328,104.1054592
259,30.6461187,104.1075889
260,30.6458912,104.1074828
298,30.6361583,104.0736149
299,30.6321662,104.0738771
300,30.6293091,104.0740735
301,30.6291085,104.074087
302,30.6276822,104.0741833
303,30.6269374,104.0742056
304,30.6265704,104.0742166
305,30.6261974,104.0742528
306,30.6261911,104.0742436
307,30.6259721,104.0742489
308,30.6250453,104.0742713
309,30.6232944,104.0744467
711,30.6679794,104.038255
712,30.6691874,104.0382517
744,30.6705037,104.0381721
901,30.6972146,104.0672664
902,30.6969768,104.0672583
952,30.697117,104.0787323
1055,30.6718808,104.0387308
1056,30.6741038,104.040131
1057,30.6769995,104.0419564
1058,30.6267614,104.0433662
1059,30.6267494,104.0434149
1060,30.6267489,104.0434709
1061,30.6267549,104.0435289
1062,30.6267644,104.0435817
1063,30.6267763,104.0436344
1064,30.6267923,104.0436855
1065,30.6268093,104.0437267
1066,30.6268228,104.043751
1067,30.6268417,104.0437777
1068,30.6268602,104.0437951
1069,30.6268792,104.0438079
1070,30.6269061,104.0438224
1071,30.6269445,104.0438357
1072,30.6269955,104.0438479
1073,30.6270574,104.0438549
1074,30.6271472,104.0438572
1075,30.627257,104.0438526
1076,30.6274517,104.0438537
1077,30.6275295,104.0438618
1078,30.6276127,104.0438765
1188,30.6800984,104.0978455
1189,30.6803618,104.0980297
1190,30.6808046,104.0983394
1191,30.681865,104.098938
1200,30.6785577,104.0974201
1201,30.6777919,104.0977506
1202,30.6789333,104.0972577
1203,30.6797902,104.0968749
1204,30.6800392,104.097659
1205,30.6791911,104.0982137
1212,30.6798278,104.0966153
1213,30.6806462,104.0952544
1214,30.6771631,104.097651
1215,30.6763938,104.09798
1222,30.6775144,104.0988168
1223,30.6767563,104.0991458
1230,30.6476017,104.103539
1231,30.6475007,104.1037665
1232,30.6769543,104.0969585
1233,30.6773319,104.0982112
1234,30.6777241,104.0995124
1235,30.6778604,104.0979867
1236,30.6782744,104.0964124
1237,30.6774973,104.0967354
1238,30.6758386,104.0974201
1239,30.6765864,104.0999876
1240,30.6782505,104.0993019
1241,30.6783872,104.0992473
1242,30.6793658,104.0988561
1496,30.6780359,104.0985912
1497,30.6783262,104.0984597
1498,30.6784601,104.0983818
1499,30.6784292,104.0983009
1500,30.6782901,104.0983369
1501,30.6779994,104.0984655
1502,30.678768,104.1006456
